"indicator","subtopic","short.description","population","year","comparison","adjusted.rate.ratio","adjusted.rate.ratio.low.CI","adjusted.rate.ratio.high.CI","adjusted.for"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Women vs men",1.08,0.79,1.47,"Age"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Women: Asian vs non-Asian",0.43,0.2,0.91,"Age"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Women: Maori vs non-Maori",0.85,0.49,1.46,"Age"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Women: Most deprived vs least deprived",0.46,0.23,0.91,"Age, Ethnicity"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Women: Pacific vs non-Pacific",0.59,0.26,1.32,"Age"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Asian vs non-Asian",0.37,0.22,0.62,"Age, Sex"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Maori vs non-Maori",1.13,0.94,1.35,"Age, Sex"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Men: Asian vs non-Asian",0.59,0.31,1.1,"Age"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Men: Maori vs non-Maori",0.97,0.72,1.31,"Age"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Men: Most deprived vs least deprived",1.09,0.78,1.52,"Age, Ethnicity"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Men: Pacific vs non-Pacific",0.82,0.51,1.3,"Age"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Most deprived vs least deprived",1.14,0.91,1.43,"Age, Sex, Ethnicity"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Pacific vs non-Pacific",0.84,0.62,1.13,"Age, Sex"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Women vs men",0.88,0.75,1.05,"Age"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Women: Asian vs non-Asian",0.16,0.05,0.46,"Age"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Women: Maori vs non-Maori",1.29,1.03,1.62,"Age"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Women: Most deprived vs least deprived",1.16,0.89,1.52,"Age, Ethnicity"
"ind_49","Current smoking","Smoker - recent/past quitter","adults",2018,"Women: Pacific vs non-Pacific",0.87,0.62,1.23,"Age"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Asian vs non-Asian",0.35,0.12,1,"Age, Sex"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Maori vs non-Maori",1.16,0.83,1.61,"Age, Sex"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Men: Asian vs non-Asian",0.48,0.14,1.67,"Age"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Men: Maori vs non-Maori",0.91,0.54,1.52,"Age"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Men: Most deprived vs least deprived",0.89,0.49,1.64,"Age, Ethnicity"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Men: Pacific vs non-Pacific",0.65,0.32,1.29,"Age"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Most deprived vs least deprived",0.91,0.57,1.44,"Age, Sex, Ethnicity"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Pacific vs non-Pacific",0.59,0.34,1.01,"Age, Sex"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Women vs men",0.52,0.39,0.7,"Age"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Women: Maori vs non-Maori",1.68,1.07,2.63,"Age"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Women: Most deprived vs least deprived",0.89,0.48,1.63,"Age, Ethnicity"
"ind_5","Gambling participation","Any horse/dog races/sports events (NZ)","adults",2018,"Women: Pacific vs non-Pacific",0.49,0.19,1.27,"Age"
"ind_50","Current smoking","Never smoker","adults",2018,"Asian vs non-Asian",1.9,1.67,2.17,"Age, Sex"
"ind_50","Current smoking","Never smoker","adults",2018,"Maori vs non-Maori",0.53,0.41,0.68,"Age, Sex"
"ind_50","Current smoking","Never smoker","adults",2018,"Men: Asian vs non-Asian",1.77,1.4,2.25,"Age"
"ind_50","Current smoking","Never smoker","adults",2018,"Men: Maori vs non-Maori",0.48,0.31,0.76,"Age"
"ind_50","Current smoking","Never smoker","adults",2018,"Men: Most deprived vs least deprived",0.82,0.62,1.09,"Age, Ethnicity"
"ind_50","Current smoking","Never smoker","adults",2018,"Men: Pacific vs non-Pacific",1.11,0.84,1.46,"Age"
"ind_50","Current smoking","Never smoker","adults",2018,"Most deprived vs least deprived",0.84,0.7,1,"Age, Sex, Ethnicity"
"ind_50","Current smoking","Never smoker","adults",2018,"Pacific vs non-Pacific",1.02,0.87,1.2,"Age, Sex"
"ind_50","Current smoking","Never smoker","adults",2018,"Women vs men",1.25,1.1,1.41,"Age"
"ind_50","Current smoking","Never smoker","adults",2018,"Women: Asian vs non-Asian",2,1.76,2.27,"Age"
"ind_50","Current smoking","Never smoker","adults",2018,"Women: Maori vs non-Maori",0.57,0.45,0.71,"Age"
"ind_50","Current smoking","Never smoker","adults",2018,"Women: Most deprived vs least deprived",0.85,0.71,1.03,"Age, Ethnicity"
"ind_50","Current smoking","Never smoker","adults",2018,"Women: Pacific vs non-Pacific",0.94,0.78,1.13,"Age"
"ind_51","Current smoking","Average number of cigarettes smoked per day",NA,NA,NA,NA,NA,NA,NA
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Asian vs non-Asian",NA,NA,NA,"Age, Sex"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Maori vs non-Maori",3.07,2.05,4.61,"Age, Sex"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Men: Maori vs non-Maori",3.09,1.75,5.45,"Age"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Men: Most deprived vs least deprived",3.56,1.35,9.45,"Age, Ethnicity"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Men: Pacific vs non-Pacific",0.97,0.38,2.49,"Age"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Most deprived vs least deprived",4.9,2.31,10.39,"Age, Sex, Ethnicity"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Pacific vs non-Pacific",1.4,0.77,2.55,"Age, Sex"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Women vs men",0.62,0.43,0.88,"Age"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Women: Maori vs non-Maori",3.02,1.82,5.01,"Age"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_52","Current smoking","Addiction to tobacco","adults",2018,"Women: Pacific vs non-Pacific",2.21,1.25,3.9,"Age"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Asian vs non-Asian",0.37,0.14,0.96,"Age, Sex"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Maori vs non-Maori",2.74,2.02,3.71,"Age, Sex"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Men: Asian vs non-Asian",0.63,0.23,1.73,"Age"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Men: Maori vs non-Maori",2.32,1.48,3.63,"Age"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Men: Most deprived vs least deprived",2.39,1.1,5.17,"Age, Ethnicity"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Men: Pacific vs non-Pacific",1.08,0.61,1.91,"Age"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Most deprived vs least deprived",3.04,1.7,5.46,"Age, Sex, Ethnicity"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Pacific vs non-Pacific",1.38,0.93,2.04,"Age, Sex"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Women vs men",0.65,0.49,0.86,"Age"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Women: Maori vs non-Maori",3.4,2.42,4.77,"Age"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Women: Most deprived vs least deprived",4.61,1.96,10.85,"Age, Ethnicity"
"ind_55","Current smoking","Smoker - current daily","adults",2018,"Women: Pacific vs non-Pacific",1.87,1.21,2.9,"Age"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Asian vs non-Asian",0.42,0.25,0.72,"Age, Sex"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Maori vs non-Maori",2.07,1.72,2.49,"Age, Sex"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Men: Asian vs non-Asian",0.54,0.31,0.94,"Age"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Men: Maori vs non-Maori",2,1.55,2.57,"Age"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Men: Most deprived vs least deprived",1.3,0.86,1.98,"Age, Ethnicity"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Men: Pacific vs non-Pacific",0.78,0.53,1.15,"Age"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Most deprived vs least deprived",1.53,1.14,2.05,"Age, Sex, Ethnicity"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Pacific vs non-Pacific",0.92,0.72,1.18,"Age, Sex"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Women vs men",0.73,0.59,0.89,"Age"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Women: Asian vs non-Asian",0.27,0.07,0.99,"Age"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Women: Maori vs non-Maori",2.17,1.67,2.82,"Age"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Women: Most deprived vs least deprived",1.92,1.24,2.98,"Age, Ethnicity"
"ind_56","Vaping / e-cigarettes","Ever tried an e-cigarette","adults",2018,"Women: Pacific vs non-Pacific",1.14,0.84,1.53,"Age"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Asian vs non-Asian",0.32,0.11,0.96,"Age, Sex"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Maori vs non-Maori",1.86,1.13,3.04,"Age, Sex"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Men: Asian vs non-Asian",0.44,0.12,1.63,"Age"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Men: Maori vs non-Maori",1.87,0.84,4.15,"Age"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Men: Pacific vs non-Pacific",1.24,0.41,3.81,"Age"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Most deprived vs least deprived",2.21,0.96,5.09,"Age, Sex, Ethnicity"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Pacific vs non-Pacific",1.15,0.52,2.56,"Age, Sex"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Women vs men",0.71,0.43,1.18,"Age"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Women: Maori vs non-Maori",1.85,0.93,3.64,"Age"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_57","Vaping / e-cigarettes","Current e-cigarette users in the population","adults",2018,"Women: Pacific vs non-Pacific",1.01,0.29,3.46,"Age"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Asian vs non-Asian",1.12,0.34,3.69,"Age, Sex"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Maori vs non-Maori",0.68,0.34,1.35,"Age, Sex"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Men: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Men: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Most deprived vs least deprived",NA,NA,NA,"Age, Sex, Ethnicity"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Pacific vs non-Pacific",1.62,0.71,3.68,"Age, Sex"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women vs men",0.58,0.31,1.08,"Age"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_58","Vaping / e-cigarettes","Use at least daily (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Asian vs non-Asian",0.94,0.29,2.99,"Age, Sex"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Maori vs non-Maori",0.76,0.43,1.33,"Age, Sex"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Men: Asian vs non-Asian",0.86,0.22,3.33,"Age"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Men: Maori vs non-Maori",0.69,0.29,1.68,"Age"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Men: Pacific vs non-Pacific",1.69,0.6,4.77,"Age"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Most deprived vs least deprived",1.51,0.63,3.62,"Age, Sex, Ethnicity"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Pacific vs non-Pacific",1.31,0.6,2.85,"Age, Sex"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women vs men",0.88,0.51,1.53,"Age"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women: Maori vs non-Maori",0.9,0.44,1.86,"Age"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_59","Vaping / e-cigarettes","Use at least once a week (of those who have tried vaping)","adults who have tried e-cigarettes",2018,"Women: Pacific vs non-Pacific",0.93,0.25,3.49,"Age"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Asian vs non-Asian",0.65,0.32,1.32,"Age, Sex"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Maori vs non-Maori",1.34,1.05,1.7,"Age, Sex"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Men: Asian vs non-Asian",0.99,0.41,2.4,"Age"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Men: Maori vs non-Maori",1.26,0.89,1.79,"Age"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Men: Most deprived vs least deprived",1.37,0.86,2.18,"Age, Ethnicity"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Men: Pacific vs non-Pacific",1.59,1.03,2.47,"Age"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Most deprived vs least deprived",1.56,1.13,2.15,"Age, Sex, Ethnicity"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Pacific vs non-Pacific",1.42,1.04,1.93,"Age, Sex"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Women vs men",0.76,0.6,0.96,"Age"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Women: Asian vs non-Asian",0.28,0.09,0.84,"Age"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Women: Maori vs non-Maori",1.43,1.01,2.02,"Age"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Women: Most deprived vs least deprived",1.89,1.21,2.95,"Age, Ethnicity"
"ind_6","Gambling participation frequency","Lotto product - at least weekly","adults",2018,"Women: Pacific vs non-Pacific",1.19,0.76,1.85,"Age"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Asian vs non-Asian",NA,NA,NA,"Age, Sex"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Maori vs non-Maori",NA,NA,NA,"Age, Sex"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Men: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Men: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Most deprived vs least deprived",NA,NA,NA,"Age, Sex, Ethnicity"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Pacific vs non-Pacific",NA,NA,NA,"Age, Sex"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Women vs men",0.86,0.5,1.47,"Age"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Women: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_60","Vaping / e-cigarettes","Use vaping/e-cigarettes to stop smoking completely (only current users)","adults who have tried e-cigarettes",2018,"Women: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Asian vs non-Asian",NA,NA,NA,"Age, Sex"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Maori vs non-Maori",NA,NA,NA,"Age, Sex"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Men: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Men: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Most deprived vs least deprived",NA,NA,NA,"Age, Sex, Ethnicity"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Pacific vs non-Pacific",NA,NA,NA,"Age, Sex"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Women vs men",NA,NA,NA,"Age"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Women: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_61","Vaping / e-cigarettes","Use vaping/e-cigarettes to reduce the amount of tobacco smoked (only those who currently use)","adults who have tried e-cigarettes",2018,"Women: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Asian vs non-Asian",0.66,0.52,0.84,"Age, Sex"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Maori vs non-Maori",0.99,0.82,1.2,"Age, Sex"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Men: Asian vs non-Asian",0.89,0.67,1.18,"Age"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Men: Maori vs non-Maori",1.02,0.77,1.35,"Age"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Men: Most deprived vs least deprived",0.76,0.55,1.04,"Age, Ethnicity"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Men: Pacific vs non-Pacific",0.81,0.56,1.18,"Age"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Most deprived vs least deprived",0.77,0.62,0.97,"Age, Sex, Ethnicity"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Pacific vs non-Pacific",0.9,0.69,1.15,"Age, Sex"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Women vs men",0.78,0.66,0.92,"Age"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Women: Asian vs non-Asian",0.39,0.23,0.66,"Age"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Women: Maori vs non-Maori",0.96,0.71,1.29,"Age"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Women: Most deprived vs least deprived",0.81,0.59,1.11,"Age, Ethnicity"
"ind_63","Vaping / e-cigarettes","Agree that e-cigarettes are safer than tobacco","adults",2018,"Women: Pacific vs non-Pacific",1.01,0.73,1.38,"Age"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Asian vs non-Asian",0.63,0.48,0.81,"Age, Sex"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Maori vs non-Maori",1.1,0.97,1.25,"Age, Sex"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Men: Asian vs non-Asian",0.69,0.48,0.99,"Age"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Men: Maori vs non-Maori",1.09,0.9,1.32,"Age"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Men: Most deprived vs least deprived",0.77,0.59,1,"Age, Ethnicity"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Men: Pacific vs non-Pacific",0.8,0.6,1.07,"Age"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Most deprived vs least deprived",0.84,0.69,1.02,"Age, Sex, Ethnicity"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Pacific vs non-Pacific",0.84,0.69,1.03,"Age, Sex"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Women vs men",0.94,0.84,1.06,"Age"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Women: Asian vs non-Asian",0.56,0.37,0.85,"Age"
"ind_64","Vaping / e-cigarettes","Agree that e-cigarettes help people quit smoking","adults",2018,"Women: Maori vs non-Maori",1.11,0.95,1.28,"Age"
